TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Upper 95% CI,COPD_number,diabetes_number,CKD_prevalence,CKD_Upper 95% CI,CKD_number,Urban_rural_code
26625.0,3221.0,3463.0,2922.0,2829.0,2831.0,3831.0,3860.0,2460.0,1208.0,25313.0,337.0,428.0,89.0,11.0,447.0,26625.0,167.0,303.0,1.5,2546.0,6396.0,5727.0,3406.0,35.4,18.8,4070.0,50374.0,47914.0,52834.0,12456.0,11696.0,760.0,50374.0,88.9,287.0,249.7,97.8,87.6,7.9,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,0.0,26317.0,7218.0,27.4,20545.0,49.7,47.3,51.9,10213.0,38.6,36.8,40.4,7930.0,10.1,9.1,11.1,11.3,13.0,2314.0,2823.0,3.8,4.1,771.0,6.0
51266.0,5272.0,5751.0,5137.0,5341.0,5880.0,7885.0,8271.0,4801.0,2928.0,49662.0,593.0,109.0,231.0,22.0,649.0,51266.0,-557.0,1302.0,0.0,3913.0,18496.0,9051.0,6742.0,48.4,17.6,7537.0,45761.0,43018.0,48504.0,22421.0,21317.0,1104.0,45761.0,75.2,320.5,273.3,100.8,88.2,8.7,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,8.0,52880.0,15253.0,28.8,41304.0,46.7,44.0,49.2,19282.0,33.2,31.3,35.1,13713.0,9.2,8.2,10.1,9.9,11.5,4097.0,5416.0,3.5,3.8,1454.0,5.0
37779.0,3915.0,5118.0,6202.0,4363.0,4451.0,5107.0,4349.0,2713.0,1561.0,35248.0,1435.0,135.0,394.0,18.0,549.0,37779.0,169.0,5022.0,0.6,2678.0,10860.0,7263.0,3984.0,43.8,16.1,3978.0,54718.0,50857.0,58579.0,16882.0,16245.0,637.0,54718.0,98.2,230.8,212.0,80.3,74.4,6.5,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,6.0,37543.0,8058.0,21.5,30379.0,47.0,44.9,49.1,14283.0,33.7,32.1,35.4,10238.0,7.3,6.6,8.1,9.2,10.4,2792.0,3698.0,2.9,3.1,871.0,2.0
91984.0,11163.0,12646.0,11595.0,11357.0,11444.0,12774.0,10791.0,6736.0,3478.0,69216.0,1175.0,12403.0,1370.0,79.0,7741.0,91984.0,505.0,1216.0,0.5,4804.0,19984.0,21265.0,14803.0,32.8,24.3,8855.0,61849.0,58266.0,65432.0,44792.0,43309.0,1483.0,61849.0,119.1,206.7,189.1,73.9,68.5,6.2,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,6.0,90098.0,19479.0,21.6,70506.0,46.9,44.9,48.7,33057.0,36.5,35.1,38.1,25735.0,7.8,7.1,8.5,8.1,9.3,5716.0,7913.0,3.0,3.2,2118.0,3.0
134487.0,16698.0,17666.0,17281.0,15993.0,15845.0,17982.0,16909.0,10074.0,6039.0,109628.0,15004.0,1047.0,4026.0,61.0,4721.0,134487.0,129.0,4326.0,2.3,8123.0,33106.0,30526.0,19318.0,36.4,21.2,22602.0,48413.0,45124.0,51702.0,62865.0,60219.0,2646.0,48413.0,85.5,287.0,249.7,97.8,87.6,7.9,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,32.0,134327.0,31227.0,23.2,103686.0,48.0,46.0,49.8,49754.0,37.5,36.1,39.0,38882.0,8.4,7.7,9.1,9.6,11.0,10002.0,12987.0,3.4,3.6,3490.0,4.0
883305.0,72007.0,60660.0,151437.0,183382.0,120821.0,107395.0,93694.0,54600.0,39309.0,467444.0,49184.0,6570.0,317204.0,4015.0,38888.0,883305.0,4139.0,24235.0,7.2,79408.0,84630.0,131509.0,394004.0,12.3,57.1,87596.0,110601.0,107200.0,114002.0,575567.0,562022.0,13545.0,110601.0,147.0,279.6,243.8,96.2,87.1,7.2,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,337.0,864263.0,179193.0,20.7,764613.0,23.9,22.6,25.1,182564.0,16.8,16.0,17.5,128455.0,4.6,4.2,5.0,3.8,4.3,28886.0,67258.0,2.3,2.5,17872.0,1.0
20299.0,2435.0,2532.0,2443.0,2283.0,2367.0,2949.0,2664.0,1826.0,800.0,14106.0,5724.0,73.0,136.0,14.0,246.0,20299.0,-237.0,89.0,0.1,2659.0,5932.0,4124.0,1470.0,41.8,10.4,4128.0,48708.0,45569.0,51847.0,9182.0,8778.0,404.0,48708.0,83.1,228.7,202.9,79.1,71.9,7.0,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,0.0,20809.0,5131.0,24.7,15759.0,46.1,44.3,47.8,7266.0,32.9,31.6,34.3,5185.0,9.1,8.4,9.9,10.6,11.9,1669.0,2438.0,3.9,4.1,608.0,4.0
2801.0,361.0,402.0,277.0,350.0,287.0,331.0,377.0,232.0,184.0,2633.0,21.0,76.0,20.0,0.0,51.0,2801.0,44.0,96.0,7.2,238.0,607.0,592.0,372.0,33.6,20.6,276.0,53107.0,47916.0,58298.0,1557.0,1512.0,45.0,53107.0,93.1,240.4,219.1,92.8,84.8,9.2,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,0.0,2739.0,732.0,26.7,2106.0,40.4,37.8,42.9,850.0,30.4,28.5,32.2,640.0,7.8,6.9,8.8,6.1,7.3,128.0,216.0,3.1,3.4,64.0,6.0
628195.0,64634.0,77403.0,70438.0,73278.0,78076.0,99861.0,84949.0,49074.0,30482.0,555198.0,27543.0,1787.0,32220.0,376.0,11071.0,628195.0,1167.0,8038.0,1.2,27363.0,128245.0,109517.0,180201.0,28.8,40.5,35350.0,88538.0,86842.0,90234.0,341069.0,328286.0,12783.0,88538.0,145.4,320.5,273.3,100.8,88.2,8.7,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,90.0,626486.0,151809.0,24.2,499979.0,39.3,37.2,41.4,196424.0,29.8,28.3,31.3,148994.0,6.3,5.6,7.0,6.4,7.6,31984.0,53389.0,2.7,2.9,13632.0,2.0
4341.0,454.0,543.0,567.0,652.0,457.0,533.0,527.0,348.0,260.0,3927.0,112.0,147.0,54.0,0.0,101.0,4341.0,-68.0,573.0,0.0,677.0,1412.0,881.0,391.0,42.0,11.6,915.0,29515.0,26216.0,32814.0,1624.0,1534.0,90.0,29515.0,62.3,244.8,213.8,91.1,82.1,7.7,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,0.0,4426.0,1149.0,26.0,3436.0,48.3,46.4,50.2,1660.0,35.7,34.2,37.3,1227.0,7.6,6.9,8.3,5.8,6.6,201.0,492.0,3.8,4.1,129.0,6.0
